sintomas,especialidad
Presento veo lucecitas antes de que me duela la cabeza de inicio súbito.,Neurología
Acude por presentar disuria y polaquiuria de inicio súbito.,Urología
Manifiesta me sangran las encías al cepillarme hace una semana.,Odontología
Acude por presentar tengo mal aliento desde esta mañana.,Odontología
"Sangrado uterino anormal, sumado a dismenorrea incapacitante.",Ginecología
Acude por presentar pirexia no cuantificada intermitente.,Pediatría
Tengo prurito vulvar desde esta mañana.,Ginecología
Se queja de me duele la espalda baja a los lados intermitente.,Nefrología
"Doctor, tengo me duele la cintura bajito hace una semana.",Traumatología
"Síndrome febril agudo, también refiere lesiones herpéticas.",Infectología
Ayúdeme con edema y equimosis post-traumática intermitente.,Traumatología
Tengo se me hinchó la boca y los ojos desde hace 3 días.,Alergología
Miodesopsias y siente diplopía.,Oftalmología
Me cae mal todo lo que como con estoy aventado.,Gastroenterología
"Tengo problemas de potencia sexual, sumado a me arde para orinar y voy a cada rato.",Urología
Me da síncope vasovagal desde hace 3 días.,Cardiología
Presenta artralgias matutinas y dice que se me están enchuecando los dedos.,Reumatología
Indica tener todo me da vueltas y me tumba desde hace 3 días.,Neurología
Manifiesta me salieron ampollas dolorosas hace una semana.,Infectología
Ayúdeme con me duele la barriga un poco constante.,Medicina General
Ayúdeme con no puedo ni tragar del dolor de garganta que no pasa.,Otorrinolaringología
"Síncope vasovagal, acompañado de dolor precordial opresivo.",Cardiología
Me da adenopatías generalizadas hace una semana.,Infectología
Ánimo depresivo persistente con insomnio de conciliación.,Psiquiatría
"Aumento de peso injustificado, sumado a intolerancia al frío.",Endocrinología
Presenta temblor distal fino y dice que paso con frío todo el tiempo.,Endocrinología
Siento que leucorrea fétida de inicio súbito.,Ginecología
Indica tener cefalea leve que no pasa.,Medicina General
Indica tener disnea paroxística nocturna constante.,Neumología
Manifiesta anafilaxia desde esta mañana.,Emergencias
Ayúdeme con todo me da vueltas y me tumba constante.,Neurología
Acude por presentar gingivorragia que no pasa.,Odontología
Mastalgia cíclica y además dismenorrea incapacitante.,Ginecología
Indica tener le dio el ataque y se sacudió intermitente.,Neurología
"Doctor, tengo colitis ulcerosa de inicio súbito.",Gastroenterología
Presento se me salió el hueso que no pasa.,Traumatología
Desde ayer tengo síndrome febril agudo desde hace 3 días.,Infectología
Prurito ocular y nasal con edema angioneurótico.,Alergología
Tengo hipoacusia súbita de inicio súbito.,Otorrinolaringología
"Dolor testicular agudo, acompañado de disuria y polaquiuria.",Urología
Indica tener irritabilidad y llanto constante constante.,Pediatría
Paciente refiere que me palpita feo el corazón desde esta mañana.,Cardiología
"Doctor, tengo intolerancia al frío desde hace 3 días.",Endocrinología
Tengo me arde la boca del estómago desde hace 3 días.,Gastroenterología
Presenta erupción exantemática y dice que el nene no para de llorar.,Pediatría
Se queja de halitosis intermitente.,Odontología
"Me hinca el corazón, también refiere siento como una pata de elefante en el pecho.",Cardiología
Presento ideación suicida constante.,Psiquiatría
Manifiesta todo lo que come lo vomita intermitente.,Pediatría
Hay presencia de dolor testicular agudo constante.,Urología
Acude por presentar ya no veo bien las letras de lejos de inicio súbito.,Oftalmología
Me da lesiones herpéticas de inicio súbito.,Infectología
Siento que no puedo mover la rodilla ni un poquito de inicio súbito.,Traumatología
Siento que hematuria macroscópica intermitente.,Urología
Se queja de distensión abdominal desde hace 3 días.,Gastroenterología
Tengo las piernas hinchadas como tamal y además tengo la presión por las nubes.,Cardiología
Síncope vasovagal con dolor precordial opresivo.,Cardiología
Se me ponen los dedos blancos con el frío y además amanezco tieso.,Reumatología
Parestesias en hemicuerpo y siente crisis convulsiva tónico-clónica.,Neurología
Tengo me sangran las encías al cepillarme hace una semana.,Odontología
Siento que me estoy secando de lo flaco constante.,Oncología
Presento leucorrea fétida hace una semana.,Ginecología
Presenta intoxicación exógena y dice que se cortó feo y sale mucha sangre.,Emergencias
"Me siento muy nervioso y con miedo, también refiere escucho voces que nadie más oye.",Psiquiatría
Disnea paroxística nocturna con sibilancias espiratorias.,Neumología
Acude por presentar tengo mal aliento constante.,Odontología
Acude por presentar tengo el colon inflamado desde esta mañana.,Gastroenterología
"Estoy engordando sin comer tanto, sumado a sudo demasiado sin hacer nada.",Endocrinología
"Doctor, tengo tengo un descenso que huele mal hace una semana.",Ginecología
"Se está hinchando todo y no respira, también refiere se tomó un veneno.",Emergencias
Ayúdeme con dismenorrea incapacitante desde hace 3 días.,Ginecología
Desde ayer tengo se me está cayendo el pelo por parches hace una semana.,Dermatología
Acude por presentar me ahogo cuando estoy durmiendo de inicio súbito.,Neumología
Herida cortopunzante profusa y siente intoxicación exógena.,Emergencias
"Tengo el colon inflamado, acompañado de me arde la boca del estómago.",Gastroenterología
Manifiesta me duelen los senos antes de la menstruación constante.,Ginecología
Manifiesta angina de pecho estable desde esta mañana.,Cardiología
Desde ayer tengo rinorrea hialina que no pasa.,Medicina General
Hiperemia conjuntival y además disminución de la agudeza visual.,Oftalmología
Intolerancia al frío con diaforesis excesiva.,Endocrinología
Presento sudoración nocturna desde esta mañana.,Infectología
Presento casi no estoy orinando nada que no pasa.,Nefrología
"Intoxicación exógena, sumado a traumatismo craneoencefálico.",Emergencias
Manifiesta tengo problemas de potencia sexual constante.,Urología
Tengo dolor musculoesquelético difuso constante.,Medicina General
Paciente refiere que casi no estoy orinando nada hace una semana.,Nefrología
Acude por presentar cefalea tensional holocraneal que no pasa.,Neurología
"Rechinar los dientes al dormir, acompañado de me duele la muela horrible.",Odontología
Desde ayer tengo rinitis alérgica estacional desde hace 3 días.,Alergología
"Parestesias en hemicuerpo, también refiere cefalea tensional holocraneal.",Neurología
Presenta polidipsia y poliuria y dice que paso con frío todo el tiempo.,Endocrinología
Absceso periodontal y además gingivorragia.,Odontología
Paciente refiere que todo lo que come lo vomita desde hace 3 días.,Pediatría
Indica tener dolor poliarticular hace una semana.,Reumatología
Indica tener crisis de ansiedad generalizada intermitente.,Psiquiatría
"Doctor, tengo fotofobia desde hace 3 días.",Oftalmología
Desde ayer tengo odinofagia intensa intermitente.,Otorrinolaringología
Siento que me duele la cintura bajito intermitente.,Traumatología
Siento que sibilancias espiratorias de inicio súbito.,Neumología
Siento que disnea de esfuerzo desde hace 3 días.,Cardiología
"Alucinaciones auditivas, también refiere crisis de ansiedad generalizada.",Psiquiatría
"Hipertensión resistente, acompañado de proteinuria espumosa.",Nefrología
Hipertensión arterial descontrolada con angina de pecho estable.,Cardiología
Se queja de ánimo depresivo persistente intermitente.,Psiquiatría
"Disfunción eréctil, acompañado de hematuria macroscópica.",Urología
Indica tener disfagia progresiva desde esta mañana.,Oncología
"Fotofobia, también refiere hiperemia conjuntival.",Oftalmología
Siento que estoy orinando sangre que no pasa.,Urología
Desde ayer tengo estoy engordando sin comer tanto constante.,Endocrinología
"Estoy aventado, acompañado de me cae mal todo lo que como.",Gastroenterología
Me da tos ferina desde esta mañana.,Pediatría
Paciente refiere que tengo bolas en el cuello y axilas que no pasa.,Infectología
Absceso periodontal y siente odontalgia severa.,Odontología
Paciente refiere que el guagua está hirviendo en fiebre intermitente.,Pediatría
Hay presencia de se me regresa la comida agria hace una semana.,Gastroenterología
Palpitaciones taquicárdicas y además edema en miembros inferiores.,Cardiología
Angina de pecho estable con síncope vasovagal.,Cardiología
Acude por presentar se cortó feo y sale mucha sangre desde hace 3 días.,Emergencias
Siento que me duele la barriga un poco intermitente.,Medicina General
Me da escucho voces que nadie más oye que no pasa.,Psiquiatría
Me da me baja la regla muy fuerte y a deshora de inicio súbito.,Ginecología
Ayúdeme con me enronché después de tomar la pastilla hace una semana.,Alergología
Se me salió el hueso y además tengo morado y soplado después del golpe.,Traumatología
Polidipsia y poliuria con temblor distal fino.,Endocrinología
Me da alopecia areata hace una semana.,Dermatología
Indica tener irritabilidad y llanto constante desde hace 3 días.,Pediatría
Siento que disnea paroxística nocturna desde hace 3 días.,Neumología
Presento veo lucecitas antes de que me duela la cabeza desde hace 3 días.,Neurología
Hay presencia de fractura expuesta desde esta mañana.,Traumatología
Paciente refiere que cefalea tensional holocraneal intermitente.,Neurología
Estoy vomitando sangre y siente tengo el colon inflamado.,Gastroenterología
Hay presencia de sudo demasiado sin hacer nada intermitente.,Endocrinología
La presión no me baja con nada y siente la orina sale con mucha espuma.,Nefrología
Desde ayer tengo amanecí con los ojos hinchados desde hace 3 días.,Nefrología
"Doctor, tengo tengo mucha sed y orino bastante de inicio súbito.",Endocrinología
Desde ayer tengo amanezco tieso intermitente.,Reumatología
"Doctor, tengo me salió alergia por tocar algo de inicio súbito.",Alergología
Presenta insomnio de conciliación y dice que me siento muy nervioso y con miedo.,Psiquiatría
"Irritabilidad y llanto constante, acompañado de intolerancia a la vía oral.",Pediatría
"Doctor, tengo tos ferina desde hace 3 días.",Pediatría
Desde ayer tengo intolerancia a la vía oral desde esta mañana.,Pediatría
Manifiesta sangrado uterino anormal que no pasa.,Ginecología
Desde ayer tengo dermatitis atópica desde hace 3 días.,Dermatología
Indica tener hemoptisis constante.,Neumología
Siento que acné nódulo-quístico intermitente.,Dermatología
Presento mojo la cama de sudor en la noche intermitente.,Infectología
Siento que diplopía que no pasa.,Oftalmología
Tengo el colon inflamado y siente estoy vomitando sangre.,Gastroenterología
Desde ayer tengo edema periorbitario desde esta mañana.,Nefrología
Tengo síncope vasovagal constante.,Cardiología
Presento fotofobia intermitente.,Oftalmología
Tengo sibilancias espiratorias de inicio súbito.,Neumología
Indica tener se me está cayendo el pelo por parches hace una semana.,Dermatología
Se queja de me dio un soponcio y me caí que no pasa.,Cardiología
Paciente refiere que me arde para orinar y voy a cada rato que no pasa.,Urología
"Me duele la barriga un poco, también refiere tengo un dolorcito de cabeza.",Medicina General
Presento tos productiva con esputo desde hace 3 días.,Neumología
Paciente refiere que edema y equimosis post-traumática hace una semana.,Traumatología
Desde ayer tengo me estoy secando de lo flaco constante.,Oncología
Ayúdeme con intolerancia a la vía oral de inicio súbito.,Pediatría
"Tengo una picazón allá abajo, sumado a me vienen unos cólicos que me tumban.",Ginecología
"Doctor, tengo hiperemia conjuntival desde esta mañana.",Oftalmología
"Prurito ocular y nasal, también refiere reacción a medicamentos.",Alergología
Me da me estoy secando de lo flaco que no pasa.,Oncología
Se queja de tengo el ojo rojo como tomate que no pasa.,Oftalmología
"Diplopía, acompañado de disminución de la agudeza visual.",Oftalmología
Ayúdeme con tengo morado y soplado después del golpe constante.,Traumatología
Presento edema periorbitario que no pasa.,Nefrología
Hay presencia de dolor musculoesquelético difuso que no pasa.,Medicina General
Ayúdeme con tengo mal aliento desde hace 3 días.,Odontología
Hay presencia de reacción a medicamentos intermitente.,Alergología
Acude por presentar se me salió el hueso hace una semana.,Traumatología
Presento hipoacusia súbita desde hace 3 días.,Otorrinolaringología
Ayúdeme con oliguria intermitente.,Nefrología
Dolor pleurítico con tos productiva con esputo.,Neumología
Acude por presentar ya no veo bien las letras de lejos que no pasa.,Oftalmología
"Disminución de la agudeza visual, también refiere miodesopsias.",Oftalmología
Indica tener me palpita feo el corazón hace una semana.,Cardiología
Le salieron granitos en todo el cuerpo con tiene una tos que no se le quita.,Pediatría
Manifiesta rinorrea hialina constante.,Medicina General
Tengo adenopatías generalizadas hace una semana.,Infectología
Hay presencia de me sale sangre de la nariz hace una semana.,Otorrinolaringología
Paciente refiere que se me va el aire al subir gradas desde esta mañana.,Cardiología
Tengo disuria y polaquiuria desde esta mañana.,Urología
Siento que tengo un dolorcito de cabeza hace una semana.,Medicina General
Desde ayer tengo tengo sangre en las heces constante.,Oncología
Manifiesta me duelen las coyunturas al despertar de inicio súbito.,Reumatología
"Estoy engordando sin comer tanto, acompañado de tengo mucha sed y orino bastante.",Endocrinología
Tengo odinofagia intensa que no pasa.,Otorrinolaringología
"Hematemesis, también refiere distensión abdominal.",Gastroenterología
Ayúdeme con estoy vomitando sangre desde esta mañana.,Gastroenterología
Desde ayer tengo intolerancia a la vía oral intermitente.,Pediatría
Desde ayer tengo alucinaciones auditivas intermitente.,Psiquiatría
La presión no me baja con nada con la orina sale con mucha espuma.,Nefrología
Hay presencia de tengo el cuello tieso por el frenazo desde hace 3 días.,Traumatología
Dolor precordial opresivo y siente angina de pecho estable.,Cardiología
Tengo polidipsia y poliuria hace una semana.,Endocrinología
Le dio el ataque y se sacudió y siente me duele toda la cabeza como si tuviera una vincha.,Neurología
Se queja de epigastralgia urente intermitente.,Gastroenterología
Ayúdeme con casi no estoy orinando nada intermitente.,Nefrología
Ayúdeme con tengo el colon inflamado que no pasa.,Gastroenterología
Presento artralgias matutinas que no pasa.,Reumatología
Indica tener tengo mal aliento hace una semana.,Odontología
"No tengo ganas de hacer nada, solo llorar, también refiere tengo ganas de quitarme la vida.",Psiquiatría
Me da me dio un soponcio y me caí que no pasa.,Cardiología
Indica tener astenia y adinamia que no pasa.,Medicina General
Acude por presentar me estoy secando de lo flaco intermitente.,Oncología
Desde ayer tengo vértigo periférico que no pasa.,Neurología
Indica tener tengo el colon inflamado desde hace 3 días.,Gastroenterología
"Doctor, tengo quemadura de segundo grado desde hace 3 días.",Emergencias
"Astenia y adinamia, acompañado de rinorrea hialina.",Medicina General
Presento me ahogo cuando estoy durmiendo constante.,Neumología
Tengo me sale sangre de la nariz de inicio súbito.,Otorrinolaringología
Tengo un nacido en la encía con me duele la muela horrible.,Odontología
"Insomnio de conciliación, sumado a ideación suicida.",Psiquiatría
Me da tengo hongos en la piel constante.,Dermatología
Se rompió la cabeza en la caída y siente se quemó con agua hirviendo.,Emergencias
Me duele la cintura bajito con tengo el cuello tieso por el frenazo.,Traumatología
Tengo me siento muy nervioso y con miedo intermitente.,Psiquiatría
Me ahogo cuando estoy durmiendo y además estoy tosiendo sangre.,Neumología
"Veo mosquitas volando, también refiere estoy viendo doble.",Oftalmología
Manifiesta disfagia progresiva intermitente.,Oncología
Se me va el aire al subir gradas con tengo la presión por las nubes.,Cardiología
Manifiesta palpitaciones taquicárdicas hace una semana.,Cardiología
Siento que todo lo que come lo vomita de inicio súbito.,Pediatría
Me da tengo las piernas hinchadas como tamal desde esta mañana.,Cardiología
Se queja de me pica la nariz y los ojos que no pasa.,Alergología
Tengo un dolorcito de cabeza y siente me duele la barriga un poco.,Medicina General
"Tos productiva con esputo, sumado a disnea paroxística nocturna.",Neumología
Presento todo me da vueltas y me tumba constante.,Neurología
Manifiesta veo lucecitas antes de que me duela la cabeza que no pasa.,Neurología
Siento que masa palpable no dolorosa intermitente.,Oncología
Se queja de epigastralgia urente desde esta mañana.,Gastroenterología
Paciente refiere que ideación suicida de inicio súbito.,Psiquiatría
Paciente refiere que ya no veo bien las letras de lejos desde hace 3 días.,Oftalmología
Paciente refiere que intolerancia al frío que no pasa.,Endocrinología
"Síncope vasovagal, acompañado de angina de pecho estable.",Cardiología
"Disfunción eréctil, sumado a disuria y polaquiuria.",Urología
"Doctor, tengo dermatitis de contacto de inicio súbito.",Alergología
Siento que me duele la barriga un poco desde esta mañana.,Medicina General
"Me arde la boca del estómago, también refiere estoy vomitando sangre.",Gastroenterología
Tengo ya no hago del baño como antes desde hace 3 días.,Oncología
Acude por presentar me duele toda la cabeza como si tuviera una vincha intermitente.,Neurología
Acude por presentar nevus displásico intermitente.,Dermatología
Presento leucorrea fétida que no pasa.,Ginecología
Manifiesta hematuria macroscópica constante.,Urología
"Siento hormigueo en medio cuerpo, acompañado de veo lucecitas antes de que me duela la cabeza.",Neurología
Me da intoxicación exógena desde hace 3 días.,Emergencias
Hay presencia de prurito vulvar desde hace 3 días.,Ginecología
Acude por presentar le salieron granitos en todo el cuerpo intermitente.,Pediatría
Hay presencia de sangrado uterino anormal hace una semana.,Ginecología
Se queja de ya no hago del baño como antes que no pasa.,Oncología
Presento paso con frío todo el tiempo que no pasa.,Endocrinología
Pirexia no cuantificada y siente erupción exantemática.,Pediatría
Ayúdeme con paso estornudando todo el día hace una semana.,Alergología
Tengo hipertensión arterial descontrolada desde esta mañana.,Cardiología
"Fenómeno de raynaud, acompañado de rigidez articular.",Reumatología
Manifiesta amanezco tieso intermitente.,Reumatología
Manifiesta se me están enchuecando los dedos constante.,Reumatología
Hay presencia de astenia y adinamia hace una semana.,Medicina General
Se queja de micosis cutánea intermitente.,Dermatología
Ayúdeme con se rompió la cabeza en la caída que no pasa.,Emergencias
"Doctor, tengo estoy con calentura y cuerpo cortado desde hace 3 días.",Infectología
Bruxismo y además absceso periodontal.,Odontología
Acude por presentar siento como una pata de elefante en el pecho desde esta mañana.,Cardiología
Hay presencia de me duele la espalda baja a los lados desde esta mañana.,Nefrología
Desde ayer tengo epistaxis anterior desde hace 3 días.,Otorrinolaringología
Me siento una bola dura que no duele con ya no hago del baño como antes.,Oncología
Hay presencia de halitosis de inicio súbito.,Odontología
Ayúdeme con rechinar los dientes al dormir constante.,Odontología
Paciente refiere que fiebre de origen desconocido constante.,Infectología
"Se me están enchuecando los dedos, también refiere amanezco tieso.",Reumatología
Manifiesta absceso periodontal de inicio súbito.,Odontología
Acude por presentar me pica la nariz y los ojos que no pasa.,Alergología
Aumento de peso injustificado con diaforesis excesiva.,Endocrinología
Me da estoy vomitando sangre desde hace 3 días.,Gastroenterología
"Amanezco tieso, acompañado de se me ponen los dedos blancos con el frío.",Reumatología
"Crisis convulsiva tónico-clónica, también refiere vértigo periférico.",Neurología
Me da la presión no me baja con nada intermitente.,Nefrología
Siento que limitación funcional articular desde esta mañana.,Traumatología
Siento como una pata de elefante en el pecho y siente se me va el aire al subir gradas.,Cardiología
Siento que prurito vulvar desde esta mañana.,Ginecología
Me da tengo el cuello tieso por el frenazo constante.,Traumatología
Disfunción eréctil y además hematuria macroscópica.,Urología
Ayúdeme con disfagia progresiva que no pasa.,Oncología
Hay presencia de diaforesis excesiva constante.,Endocrinología
"Doctor, tengo deformidad articular constante.",Reumatología
"Escucho voces que nadie más oye, sumado a no puedo pegar el ojo en toda la noche.",Psiquiatría
"Cervicalgia post-latigazo, sumado a limitación funcional articular.",Traumatología
Sangrado uterino anormal y además mastalgia cíclica.,Ginecología
"Vértigo posicional, acompañado de odinofagia intensa.",Otorrinolaringología
Indica tener ideación suicida desde esta mañana.,Psiquiatría
"Aumento de peso injustificado, acompañado de polidipsia y poliuria.",Endocrinología
Hay presencia de estoy con calentura y cuerpo cortado que no pasa.,Infectología
Me da se tomó un veneno que no pasa.,Emergencias
Me da me duelen todas las uniones desde hace 3 días.,Reumatología
Tos ferina y además pirexia no cuantificada.,Pediatría
Ayúdeme con hipertensión arterial descontrolada intermitente.,Cardiología
Bruxismo y además gingivorragia.,Odontología
"Tengo morado y soplado después del golpe, también refiere se me salió el hueso.",Traumatología
Tengo hipertensión resistente intermitente.,Nefrología
Siento que gingivorragia desde hace 3 días.,Odontología
Me arde la boca del estómago con estoy vomitando sangre.,Gastroenterología
Desde ayer tengo fiebre de origen desconocido constante.,Infectología
Presento me salió alergia por tocar algo constante.,Alergología
Ayúdeme con me duele full el oído derecho hace una semana.,Otorrinolaringología
Ayúdeme con otalgia derecha constante.,Otorrinolaringología
Ayúdeme con edema en miembros inferiores constante.,Cardiología
"Doctor, tengo me cae mal todo lo que como constante.",Gastroenterología
Me da irritabilidad y llanto constante que no pasa.,Pediatría
"Doctor, tengo me arde para orinar y voy a cada rato desde esta mañana.",Urología
Desde ayer tengo tengo una fiebre que no se me va que no pasa.,Infectología
Manifiesta reflujo gastroesofágico hace una semana.,Gastroenterología
Hay presencia de el nene no para de llorar constante.,Pediatría
Oliguria con edema periorbitario.,Nefrología
Paciente refiere que no puedo mover la rodilla ni un poquito intermitente.,Traumatología
Me tiemblan las manos con sudo demasiado sin hacer nada.,Endocrinología
Se queja de no puedo pegar el ojo en toda la noche constante.,Psiquiatría
Presento me sale sangre de la nariz que no pasa.,Otorrinolaringología
Indica tener deformidad articular que no pasa.,Reumatología
Desde ayer tengo tengo moquera clara intermitente.,Medicina General
"Doctor, tengo hemorragia digestiva oculta de inicio súbito.",Oncología
Indica tener me salió alergia por tocar algo intermitente.,Alergología
"Doctor, tengo siento como una pata de elefante en el pecho hace una semana.",Cardiología
Ayúdeme con me punza la espalda al respirar desde esta mañana.,Neumología
Tengo cervicalgia post-latigazo intermitente.,Traumatología
Acude por presentar me dio un soponcio y me caí intermitente.,Cardiología
Ayúdeme con sangrado uterino anormal hace una semana.,Ginecología
Me salieron ampollas dolorosas y además tengo bolas en el cuello y axilas.,Infectología
Se me regresa la comida agria con estoy vomitando sangre.,Gastroenterología
"Síncope vasovagal, sumado a edema en miembros inferiores.",Cardiología
Manifiesta intolerancia a la vía oral de inicio súbito.,Pediatría
Fenómeno de raynaud y además rigidez articular.,Reumatología
Se queja de me chilla el pecho al respirar desde esta mañana.,Neumología
"Rechinar los dientes al dormir, también refiere me duele la muela horrible.",Odontología
Manifiesta disuria y polaquiuria que no pasa.,Urología
Me da tengo el cuello tieso por el frenazo intermitente.,Traumatología
Indica tener rinorrea hialina constante.,Medicina General
Desde ayer tengo no puedo mover la rodilla ni un poquito desde hace 3 días.,Traumatología
Ayúdeme con me estoy secando de lo flaco constante.,Oncología
Acude por presentar rechinar los dientes al dormir intermitente.,Odontología
Tengo alopecia areata constante.,Dermatología
Presento edema angioneurótico desde hace 3 días.,Alergología
Ayúdeme con estoy viendo doble hace una semana.,Oftalmología
Ayúdeme con colitis ulcerosa intermitente.,Gastroenterología
Me da prurito ocular y nasal que no pasa.,Alergología
Tengo cervicalgia post-latigazo de inicio súbito.,Traumatología
Manifiesta parestesias en hemicuerpo desde hace 3 días.,Neurología
"Doctor, tengo pérdida de peso caquectizante constante.",Oncología
Ayúdeme con me dio un soponcio y me caí intermitente.,Cardiología
Ayúdeme con estoy vomitando sangre desde hace 3 días.,Gastroenterología
"Tengo el colon inflamado, también refiere estoy vomitando sangre.",Gastroenterología
Tengo el colon inflamado y además estoy vomitando sangre.,Gastroenterología
Siento que intolerancia al frío desde esta mañana.,Endocrinología
Acude por presentar disnea de esfuerzo constante.,Cardiología
Manifiesta fractura expuesta desde hace 3 días.,Traumatología
"Disfagia progresiva, también refiere hemorragia digestiva oculta.",Oncología
"Rechinar los dientes al dormir, sumado a tengo mal aliento.",Odontología
Hay presencia de masa palpable no dolorosa de inicio súbito.,Oncología
"Estoy orinando sangre, acompañado de tengo problemas de potencia sexual.",Urología
Tengo tengo la presión por las nubes desde esta mañana.,Cardiología
"Tengo una picazón allá abajo, acompañado de me baja la regla muy fuerte y a deshora.",Ginecología
Tengo me duele la muela horrible de inicio súbito.,Odontología
Hematemesis y siente ictericia marcada.,Gastroenterología
Siento que se me va el aire al subir gradas desde hace 3 días.,Cardiología
"Rinitis alérgica estacional, también refiere dermatitis de contacto.",Alergología
"Acude por presentar no tengo ganas de hacer nada, solo llorar de inicio súbito.",Psiquiatría
Rechinar los dientes al dormir con tengo mal aliento.,Odontología
Hay presencia de me cae mal todo lo que como de inicio súbito.,Gastroenterología
Angina de pecho estable y siente dolor precordial opresivo.,Cardiología
Ayúdeme con le dio el ataque y se sacudió constante.,Neurología
Manifiesta sangrado uterino anormal desde esta mañana.,Ginecología
Ayúdeme con se quemó con agua hirviendo desde esta mañana.,Emergencias
Manifiesta temblor distal fino constante.,Endocrinología
"Doctor, tengo síndrome febril agudo de inicio súbito.",Infectología
Indica tener edema y equimosis post-traumática desde esta mañana.,Traumatología
"Tiene una tos que no se le quita, sumado a le salieron granitos en todo el cuerpo.",Pediatría
"Estoy orinando sangre, sumado a tengo un dolor en el riñón que me dobla.",Urología
"Tengo ganas de quitarme la vida, acompañado de me siento muy nervioso y con miedo.",Psiquiatría
Temblor distal fino con diaforesis excesiva.,Endocrinología
Irritabilidad y llanto constante y siente tos ferina.,Pediatría
"Tengo la cara llena de granos feos, acompañado de tengo hongos en la piel.",Dermatología
Desde ayer tengo tiene una tos que no se le quita intermitente.,Pediatría
Tengo parestesias en hemicuerpo intermitente.,Neurología
Estoy tosiendo sangre y además me ahogo cuando estoy durmiendo.,Neumología
"Me salió un lunar raro, sumado a tengo la cara llena de granos feos.",Dermatología
Presenta cefalea tensional holocraneal y dice que veo lucecitas antes de que me duela la cabeza.,Neurología
Tengo sibilancias espiratorias intermitente.,Neumología
"Escucho voces que nadie más oye, acompañado de me siento muy nervioso y con miedo.",Psiquiatría
Cefalea tensional holocraneal y además vértigo periférico.,Neurología
Estoy con calentura y cuerpo cortado y además me salieron ampollas dolorosas.,Infectología
Vértigo posicional con epistaxis anterior.,Otorrinolaringología
Intolerancia a la vía oral y además irritabilidad y llanto constante.,Pediatría
"Doctor, tengo amanecí con los ojos hinchados desde hace 3 días.",Nefrología
Me da siento como una pata de elefante en el pecho desde hace 3 días.,Cardiología
"Me siento decaído y sin fuerzas, sumado a tengo un dolorcito de cabeza.",Medicina General
Hay presencia de fenómeno de Raynaud desde hace 3 días.,Reumatología
Ayúdeme con prurito vulvar hace una semana.,Ginecología
Ayúdeme con tengo bolas en el cuello y axilas que no pasa.,Infectología
Tengo morado y soplado después del golpe y además se me salió el hueso.,Traumatología
Se queja de rechinar los dientes al dormir de inicio súbito.,Odontología
Manifiesta alopecia areata intermitente.,Dermatología
Se queja de alopecia areata hace una semana.,Dermatología
Ayúdeme con limitación funcional articular desde esta mañana.,Traumatología
Se queja de disnea paroxística nocturna hace una semana.,Neumología
Manifiesta intolerancia a la vía oral desde hace 3 días.,Pediatría
Ictericia marcada con epigastralgia urente.,Gastroenterología
Disminución de la agudeza visual y siente miodesopsias.,Oftalmología
"Doctor, tengo rechinar los dientes al dormir que no pasa.",Odontología
Tengo odinofagia intensa constante.,Otorrinolaringología
Paciente refiere que me salió alergia por tocar algo hace una semana.,Alergología
Tengo todo me da vueltas y me tumba que no pasa.,Neurología
Me da se está hinchando todo y no respira constante.,Emergencias
Ayúdeme con se me está cayendo el pelo por parches intermitente.,Dermatología
Presento siento hormigueo en medio cuerpo intermitente.,Neurología
Tengo ganas de quitarme la vida y siente escucho voces que nadie más oye.,Psiquiatría
Me siento muy nervioso y con miedo y además escucho voces que nadie más oye.,Psiquiatría
"Crisis convulsiva tónico-clónica, acompañado de cefalea tensional holocraneal.",Neurología
Lesiones herpéticas y además sudoración nocturna.,Infectología
Manifiesta me cae mal todo lo que como desde esta mañana.,Gastroenterología
"Miodesopsias, también refiere hiperemia conjuntival.",Oftalmología
Presenta ictericia marcada y dice que me arde la boca del estómago.,Gastroenterología
Ayúdeme con se está hinchando todo y no respira que no pasa.,Emergencias
Presenta proteinuria espumosa y dice que casi no estoy orinando nada.,Nefrología
"El nene no para de llorar, también refiere le salieron granitos en todo el cuerpo.",Pediatría
Se queja de disfagia progresiva de inicio súbito.,Oncología
Presenta aumento de peso injustificado y dice que sudo demasiado sin hacer nada.,Endocrinología
Se queja de herida cortopunzante profusa intermitente.,Emergencias
Indica tener mastalgia cíclica que no pasa.,Ginecología
Presento tengo un dolor en el riñón que me dobla desde hace 3 días.,Urología
"Sangrado uterino anormal, sumado a prurito vulvar.",Ginecología
Tengo pérdida de peso caquectizante constante.,Oncología
Siento que aumento de peso injustificado desde hace 3 días.,Endocrinología
Hay presencia de me duelen todas las uniones desde hace 3 días.,Reumatología
Manifiesta polidipsia y poliuria que no pasa.,Endocrinología
"Odinofagia intensa, acompañado de epistaxis anterior.",Otorrinolaringología
"Tengo el ojo rojo como tomate, también refiere la luz me molesta muchísimo.",Oftalmología
Se me ponen los dedos blancos con el frío con me duelen todas las uniones.,Reumatología
Acude por presentar bruxismo hace una semana.,Odontología
Paciente refiere que estoy vomitando sangre hace una semana.,Gastroenterología
Presento fenómeno de Raynaud desde hace 3 días.,Reumatología
"Estoy engordando sin comer tanto, sumado a paso con frío todo el tiempo.",Endocrinología
Presento me palpita feo el corazón desde esta mañana.,Cardiología
Presenta disnea paroxística nocturna y dice que me punza la espalda al respirar.,Neumología
